Name,Symbol,UUID,IsMinor,Semitones,Formula
maj,M,0e11ef88-c67d-4285-9b2b-b8b232386842,0,0 4 7,1 3 5
min,m,4425f04f-dac5-469c-90bf-a7201af10e6e,1,0 3 7,1 b3 5
dim,o,c5dea2d4-58da-400d-b23c-d6af34fd47df,1,0 3 6,1 b3 b5
aug,+,1fbf73c6-8c0d-416a-84d3-4c2386eb49f1,0,0 4 8,1 3 #5
sus2,sus2,e669c6ba-6da5-4db6-8e80-64d9173584e4,0,0 2 7,1 2 5
sus4,sus4,fcf56e7c-4b66-4fc5-a828-37e69d1f9260,0,0 5 7,1 4 5
sus4 b9 #11,sus4 b9 #11,9e698a28-07e9-43fc-882c-45a1b0cdb5e1,0,0 5 7 13 18,1 4 5 b9 #11
maj7,M7,6941c58a-509d-4eef-9a69-cb2340b9d6c1,0,0 4 7 11,1 3 5 7
maj7(sus2),M7(sus2),0b93efba-0926-4e9a-bb38-a36cc2e91631,0,0 2 7 11,1 2 5 7
maj7(sus4),M7(sus4),91cbcafb-2a2d-44e6-a557-84651b4a7676,0,0 5 7 11,1 4 5 7
maj7(sus4) b9,M7(sus4) b9,2be2cdb5-2d77-40da-b95b-c92073984582,0,0 5 7 11 13,1 4 5 7 b9
maj7(sus2) 13,M7(sus2) 13,76892290-d115-412d-b33e-6ce3b7f0b8e8,0,0 2 7 11 21,1 2 5 7 13
maj7(sus4) #11,M7(sus4) #11,bf84beb4-80e3-43b9-9efd-a6b75f68f202,0,0 5 7 11 18,1 4 5 7 #11
maj7 b9,M7 b9,afa05fe1-502e-4556-8829-4cac56c79b45,0,0 4 7 11 13,1 3 5 7 b9
maj7 #9,M7 #9,1a052bc3-a8cb-4100-bee5-45cad1386a67,0,0 4 7 11 15,1 3 5 7 #9
maj7 #9 #11,M7 #9 #11,cc995ece-99d8-4e5f-bc02-d48c3ae2ef77,0,0 4 7 11 15 18,1 3 5 7 #9 #11
maj7(b5),M7(b5),3145d4f5-ab26-41fd-80c6-21839529a5a6,0,0 4 6 11,1 3 b5 7
maj7(b5) b9,M7(b5) b9,a510a0bd-3dc8-4a36-9e7a-d78534c82e57,0,0 4 6 11 13,1 3 b5 7 b9
maj7(b5) #9 13,M7(b5) #9 13,3f18e2f2-4df4-437c-bb34-6a597ed0d687,0,0 4 6 11 15 21,1 3 b5 7 #9 13
min7,m7,01280a07-b152-4590-a81a-7e0dd08ee06c,1,0 3 7 10,1 b3 5 b7
min7(b5),m7(b5),5fa6dbed-ebb8-4530-b54c-2e82df10b0c0,1,0 3 6 10,1 b3 b5 b7
min7 b9,m7 b9,a7624eb4-5f8b-4501-ac66-fa8750bf6ee0,1,0 3 7 10 13,1 b3 5 b7 b9
min7 11,m7 11,3db3a380-bf66-4577-b900-8d23f3b0a2b2,1,0 3 7 10 17,1 b3 5 b7 11
min7 13,m7 13,80e643b0-7e43-4ef7-b324-09993573b983,1,0 3 7 10 21,1 b3 5 b7 13
min7 11 13,m7 11 13,7e521781-5bbd-41fa-bd00-aff776cc6ed8,1,0 3 7 10 17 21,1 b3 5 b7 11 13
min7 #11,m7 #11,ec72e6d1-3e42-42f2-80ef-b5c5301b9d09,1,0 3 7 10 18,1 b3 5 b7 #11
min11(b9),m11(b9),27a00650-3e78-4102-b176-da1a49f8c36b,1,0 3 7 10 13 17,1 b3 5 b7 b9 11
min11(b9) b13,m11(b9) b13,f8282ef5-63c4-4447-bd13-eb4b527bc244,1,0 3 7 10 13 17 20,1 b3 5 b7 b9 11 b13
7 b9 #9,7 b9 #9,c734d9fa-905c-4215-b6df-37627836a080,0,0 4 7 10 13 15,1 3 5 b7 b9 #9
min7 b9 #11,m7 b9 #11,943b41a4-66f7-403f-9f00-0704740cf1be,1,0 3 7 10 13 18,1 b3 5 b7 b9 #11
7 b9 #9 b13,7 b9 #9 b13,65101bb0-17d5-4048-8a6d-487d4f0e9faf,0,0 4 7 10 13 15 20,1 3 5 b7 b9 #9 b13
min7 b9 #11 b13,m7 b9 #11 b13,c3e5134b-1014-4b81-8eae-b5c264e376af,1,0 3 7 10 13 18 20,1 b3 5 b7 b9 #11 b13
min11 b13,m11 b13,fe50d5b8-9859-49e3-b69e-3bb332880ae6,1,0 3 7 10 14 17 20,1 b3 5 b7 9 11 b13
min7(b5) b9,m7(b5) b9,d51f8ce3-4e87-4d3b-917e-fa2751265a23,1,0 3 6 10 13,1 b3 b5 b7 b9
min11(b5 b9),m11(b5 b9),e525b986-e0bf-4deb-9e36-e1f93c523696,1,0 3 6 10 13 17,1 b3 b5 b7 b9 11
7(b5) b9 #9,7(b5) b9 #9,436e4d7d-68d4-4de1-b6e2-b094f3b97e7a,0,0 4 6 10 13 15,1 3 b5 b7 b9 #9
min11(b5 b9) b13,m11(b5 b9) b13,c50e518d-6ff4-45a0-9995-76d5316fb826,1,0 3 6 10 13 17 20,1 b3 b5 b7 b9 11 b13
7(b5) b9 #9 b13,7(b5) b9 #9 b13,91a4031b-b099-4c32-b4e9-c852fb699b5f,0,0 4 6 10 13 15 20,1 3 b5 b7 b9 #9 b13
