id,name,folder,subfolder,type,timeSignature,bars,lengthBeats,noteCount,poolSize,maxNoteIndex,octaveDiff,velocityMean,velocitySd,nudgedFraction,nudgeMeanBeats,uuid
Basic-1,Basic 1,Bass,Common Bass,bass,4/4,4.0,16.0,24,2,1,0,110.5,6.4,0.0,0,1c66211c-eb7d-4745-b270-272f3a9d50fe
Basic-10,Basic 10,Bass,Common Bass,bass,4/4,2.0,8.0,12,4,3,0,106,0.0,0.0,0,61d4eedb-5139-42a4-8b76-79104badd5bb
Basic-11,Basic 11,Bass,Common Bass,bass,4/4,2.0,8.0,13,4,3,0,108.2,4.1,0.0,0,7c31ec55-fa4a-461b-afa1-4b72d4b9d7ed
Basic-12,Basic 12,Bass,Common Bass,bass,4/4,2.0,8.0,12,5,4,0,106,0.0,0.0,0,4aafc3fd-a95a-4f53-924e-7db9abcb31c8
Basic-13,Basic 13,Bass,Common Bass,bass,4/4,2.0,8.0,12,4,3,0,106.8,0.4,0.0,0,3db08cae-d375-4864-b013-e4cad69ead99
Basic-14,Basic 14,Bass,Common Bass,bass,4/4,2.0,8.0,13,4,3,0,110,5.6,0.0,0,46b72b07-3661-4ea0-a378-1b88db00dd53
Basic-15,Basic 15,Bass,Common Bass,bass,4/4,2.0,8.0,13,3,2,0,107,0.0,0.0,0,183cd28c-d8eb-4252-bd5e-2109c54f9948
Basic-16,Basic 16,Bass,Common Bass,bass,4/4,2.0,8.0,16,4,3,0,107,0.0,0.0,0,82db5b2b-fb66-46fa-b50c-2963ca97fdc7
Basic-17,Basic 17,Bass,Common Bass,bass,4/4,2.0,8.0,20,4,3,0,107,0.0,0.0,0,5c2b78b3-51b5-4fef-8418-fd403f77546b
Basic-18,Basic 18,Bass,Common Bass,bass,4/4,2.0,8.0,17,3,2,0,109.4,4.4,0.0,0,e647dcb6-08f2-450f-9260-a3639ee16daf
Basic-19,Basic 19,Bass,Common Bass,bass,4/4,1.0,4.0,7,3,2,0,89,0.0,0.0,0,c85b4666-3f75-4c11-a4e1-b717408dcfbf
Basic-2,Basic 2,Bass,Common Bass,bass,4/4,4.0,16.0,8,2,1,0,96.4,9.3,0.0,0,9996a261-c0bf-4a41-ac1e-21bf09ddf6a5
Basic-20,Basic 20,Bass,Common Bass,bass,4/4,1.0,4.0,6,2,1,0,89,0.0,0.0,0,bd1b2e6e-ee91-484c-97be-7de4a8f1a004
Basic-3,Basic 3,Bass,Common Bass,bass,4/4,4.0,16.0,24,2,1,0,89,0.0,0.0,0,3103220b-55c9-41d7-a171-b3a90b18db27
Basic-4,Basic 4,Bass,Common Bass,bass,4/4,4.0,16.0,28,2,1,0,89,0.0,0.75,0.00833,120b1e21-43c6-474a-b62e-b6ec3b9d2058
Basic-5,Basic 5,Bass,Common Bass,bass,4/4,4.0,16.0,28,2,1,0,89,0.0,0.0,0,bfb96bf0-ddb2-4cdb-88a6-dd86319abf03
Basic-6,Basic 6,Bass,Common Bass,bass,4/4,4.0,16.0,20,2,1,0,89,0.0,0.5,0.00833,134b45fd-4bb0-4f75-a374-dbc6b193e0a5
Basic-7,Basic 7,Bass,Common Bass,bass,4/4,2.0,8.0,22,5,4,0,106,0.0,0.0,0,c2d4046b-f686-44aa-9c7c-9b0eb1463285
Basic-8,Basic 8,Bass,Common Bass,bass,4/4,2.0,8.0,19,3,2,0,106,0.0,0.0,0,06d2416a-5c7f-425b-8838-abd1601400ce
Basic-9,Basic 9,Bass,Common Bass,bass,4/4,2.0,8.0,28,3,2,0,109.1,5.8,0.0,0,96042ef3-e33e-4b5d-8d2e-db2b70ae6d8f
Straight-1,Straight 1,Bass,Common Bass,bass,4/4,4.0,16.0,8,1,0,0,125.4,3.9,0.0,0,91868d1e-df11-47ce-bc1d-e16f6e8bdee0
Straight-10,Straight 10,Bass,Common Bass,bass,4/4,4.0,16.0,24,1,0,0,89,0.0,0.0,0,2dfbb6a8-7b26-4be1-80ed-45af148a4cc0
Straight-11,Straight 11,Bass,Common Bass,bass,4/4,4.0,16.0,42,1,0,0,89,0.0,0.0,0,eabfb930-e2c3-4c33-9107-7c98fa62a579
Straight-12,Straight 12,Bass,Common Bass,bass,4/4,4.0,16.0,28,1,0,0,89,0.0,0.0,0,a3589c35-d455-4847-b8f3-84e10811c54b
Straight-13,Straight 13,Bass,Common Bass,bass,4/4,4.0,16.0,40,1,0,0,89,0.0,0.0,0,df3cd4a7-a8e6-448c-b864-84da6ebe60fd
Straight-14,Straight 14,Bass,Common Bass,bass,4/4,4.0,16.0,32,1,0,0,89,0.0,0.0,0,14ee706e-0d8a-4209-8242-f07f6e3c536b
Straight-15,Straight 15,Bass,Common Bass,bass,4/4,4.0,16.0,24,1,0,0,89,0.0,0.0,0,c53f7f48-e283-405b-ad4c-f6be5df5f617
Straight-16,Straight 16,Bass,Common Bass,bass,4/4,4.0,16.0,24,1,0,0,89,0.0,0.0,0,8edc5c48-329c-4025-94ee-f90d58cd4e46
Straight-17,Straight 17,Bass,Common Bass,bass,4/4,1.0,4.0,5,1,0,0,89,0.0,0.0,0,6e09ea3b-2416-49ae-8c01-294df09974fb
Straight-18,Straight 18,Bass,Common Bass,bass,4/4,2.0,8.0,13,1,0,0,98.5,10.1,0.0,0,569e3204-4bd6-423d-bbad-d82a913631ed
Straight-19,Straight 19,Bass,Common Bass,bass,4/4,1.0,4.0,7,1,0,0,83.7,12.9,0.0,0,51c90085-8cbb-4da5-b6ab-13de3b66493a
Straight-2,Straight 2,Bass,Common Bass,bass,4/4,4.0,16.0,12,1,0,0,89,0.0,0.0,0,9c8f253b-3aba-4701-ac15-4660ada6efba
Straight-20,Straight 20,Bass,Common Bass,bass,4/4,1.0,4.0,9,2,1,0,89,0.0,0.0,0,c972b820-a1d2-444c-8142-477b338ab612
Straight-21,Straight 21,Bass,Common Bass,bass,4/4,1.0,4.0,10,2,1,0,89,0.0,0.0,0,8f6625b5-a45c-46aa-b992-81a5ad6876f3
Straight-22,Straight 22,Bass,Common Bass,bass,4/4,1.0,4.0,7,1,0,0,83.7,12.9,0.0,0,22903df6-480c-42b6-a6f3-1c6bc268abd4
Straight-23,Straight 23,Bass,Common Bass,bass,4/4,2.0,8.0,18,2,1,0,89,0.0,0.0,0,b3188f75-df0a-446f-9b0d-5c7b9d603f0d
Straight-3,Straight 3,Bass,Common Bass,bass,4/4,4.0,16.0,24,1,0,0,89,0.0,0.0,0,e7920bf6-17a2-465d-9c5c-31e0a36a58cb
Straight-4,Straight 4,Bass,Common Bass,bass,4/4,4.0,16.0,28,1,0,0,89,0.0,0.0,0,ad1e505f-5951-42da-82cc-ef95af9f758a
Straight-5,Straight 5,Bass,Common Bass,bass,4/4,4.0,16.0,32,1,0,0,89,0.0,0.0,0,ab28ed0c-f0ef-4adc-b02f-3b920a31c393
Straight-6,Straight 6,Bass,Common Bass,bass,4/4,4.0,16.0,32,1,0,0,89,0.0,0.0,0,cc056fac-9063-4259-a95b-8967787f8c5d
