Name,Display,Semitones,Parent,Degree,Moods,AltNames
Major scale,Major,0 2 4 5 7 9 11,MAJOR,1,"Happy, Light, Bright, Positive",Ionian mode
Dorian mode,Dorian,0 2 3 5 7 9 10,MAJOR,2,"Jazzy, Bluesy, Rocky, Sophisticated",
Phrygian mode,Phrygian,0 1 3 5 7 8 10,MAJOR,3,"Exotic, Latin, Lively",
Lydian mode,Lydian,0 2 4 6 7 9 11,MAJOR,4,"Hopeful, Dreamy, Yearning, Ethereal",
Mixolydian mode,Mixolydian,0 2 4 5 7 9 10,MAJOR,5,"Positive, Bluesy, Rocky, Poppy",Major b7; Ionian dominant
Natural Minor scale,Minor,0 2 3 5 7 8 10,MAJOR,6,"Serious, Sad, Emotional, Sentimental",Natural Minor scale; Aeolian mode
Locrian mode,Locrian,0 1 3 5 6 8 10,MAJOR,7,"Complex, Unstable, Exotic",
Harmonic Major scale,Harmonic Major,0 2 4 5 7 8 11,HARMONIC MAJOR,1,"Heroic, Mysterious, Majestic",Ionian b6
Dorian b5 scale,Dorian b5,0 2 3 5 6 9 10,HARMONIC MAJOR,2,"Mysterious, Dark, Unstable",Locrian nat. 2 nat. 6
Phrygian b4 scale,Phrygian b4,0 1 3 4 7 8 10,HARMONIC MAJOR,3,"Sentimental, Ambiguous",Super-Phrygian; Super-Locrian nat. 5; Locrian b4 nat. 5
Lydian b3 scale,Lydian b3,0 2 3 6 7 9 11,HARMONIC MAJOR,4,"Unstable, Complex",Lydian Melodic Minor; Melodic Minor #4
Mixolydian b2 scale,Mixolydian b2,0 1 4 5 7 9 10,HARMONIC MAJOR,5,"Heroic, Majestic",Mixolydian b9
Lydian Augmented #2 scale,Lydian Augmented #2,0 3 4 6 8 9 11,HARMONIC MAJOR,6,"Eerie, Mysterious",Lydian #2 #5
Locrian Diminished scale,Locrian Diminished,0 1 3 5 6 8 9,HARMONIC MAJOR,7,"Classical, Emotional, Sentimental",Locrian diminished 7; Locrian bb7
Harmonic Minor scale,Harmonic Minor,0 2 3 5 7 8 11,HARMONIC MINOR,1,"Sad, Epic, Tragic",Aeolian Major 7; Melodic Minor b6; Mohammedan
Locrian nat. 6 scale,Locrian nat. 6,0 1 3 5 6 9 10,HARMONIC MINOR,2,Ancient,Locrian #6; Dorian b2 b5
Ionian Augmented scale,Ionian Augmented,0 2 4 5 8 9 11,HARMONIC MINOR,3,"Hopeful, Open",Ionian #5
Ukrainian Dorian scale,Ukrainian Dorian,0 2 3 6 7 9 10,HARMONIC MINOR,4,"World Music, Gypsy, Eastern European, Mysterious",Dorian #4; Romanian; Misheberakh
Phrygian Dominant scale,Phrygian Dominant,0 1 4 5 7 8 10,HARMONIC MINOR,5,"World Music, Gypsy, Flamenco, Jewish",Spanish Gypsy; Balkan; Jewish; Ahava Rabah; Phrygian Major; Mixolydian b2 b6
Lydian #2 scale,Lydian #2,0 3 4 6 7 9 11,HARMONIC MINOR,6,"Yearning, Emotional, Serious",
Super-Locrian Diminished scale,Super-Locrian Diminished,0 1 3 4 6 8 9,HARMONIC MINOR,7,"Latin, Complex",Altered bb7 scale; Locrian b4 bb7; Locrian b4 diminished; Ultra-Locrian; Diminished; Super-Locrian bb7
Melodic Minor scale (asc),Melodic Minor (asc),0 2 3 5 7 9 11,MELODIC MINOR,1,"Emotional, Classical, Sad, Hopeful",Minor-Major; Minor nat. 6 nat. 7; Jazz Minor; Ionian b3; Hawaiian
Dorian b2 scale,Dorian b2,0 1 3 5 7 9 10,MELODIC MINOR,2,"Suspenseful, Uneasy, Film Noir",Dorian b9; Dorian b2; Phrygian nat. 6; Javanese
Lydian Augmented scale,Lydian Augmented,0 2 4 6 8 9 11,MELODIC MINOR,3,"Positive, Magical, Mysterious, Jazzy, Ethnic",Lydian #5
Acoustic scale,Acoustic,0 2 4 6 7 9 10,MELODIC MINOR,4,"Positive, Folk, World Music, Jazzy",Overtone; Lydian dominant; Lydian b7; Mixolydian #4
Mixolydian b6 scale,Mixolydian b6,0 2 4 5 7 8 10,MELODIC MINOR,5,"Sad, Sentimental",Mixolydian b6; Hindu; Mixolydian b13; Aeolian nat. 3; Aeolian dominant
Half Diminished scale,Half Diminished,0 2 3 5 6 8 10,MELODIC MINOR,6,"Jazz, Rock, Sad, Complex",Semi-Locrian; Locrian nat. 2; Aeolian b5
